Codigo interno,CODIGO VARIANTE,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos,Pictogram 1,Pictogram 2,Pictogram 3,Pictogram 4
KAO-QB00005,Q0103003,ASFIER 211 (TAMBOR),No Aplicable,PELIGRO,+34 93 739 9445,Provoca quemaduras graves en la piel y lesiones oculares graves. Puede provocar daños en los órganos tras exposiciones  rolongadas o repetidas. (tracto gastrointestinal),"Llevar guantes de protección: > 8 horas (tiempo de detección): caucho nitrílico. Llevar gafas o máscara de protección: Recomendado: máscara. Llevar prendas de protección: Recomendado: Traje de protección. No respirar los vapores. Lavarse las manos concienzudamente tras la manipulación. Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",e,h,1,1
KAO-QB00069,Q0201001,QUARTAMIN D86P,No Aplicable,PELIGRO,+34 93 739 9445,"Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Puede ser  ortal en caso de ingestión y penetración en las vías respiratorias. Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal, sistema inmunológico, hígado)","Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: Gafas anti-salpicaduras. , máscara. Llevar prendas de protección: Recomendado: Bata de  laboratorio. Traje de protección. No respirar el polvo. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. : Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS  JOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo,  revin ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar  nmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",e,b,1,1
,Q0201002,TETRANYL FAV,No Aplicable,ATENCION,+34 93 739 9445,Líquido y vapores inflamables.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho butílico , neopreno. Usar protección para los ojos o la cara:  ecomendado: lentes antisalpicaduras. Mantener alejado del calor, superficies calientes, chispas, llamas abiertas y otras fuentes de ignición. No fumar. Todos los equipos eléctricos, de ventilación, de iluminación y para la manipulación de materiales deben ser antideflagrantes. No utilizar herramientas que produzcan chispas. Tomar medidas de precaución contra las descargas  lectrostáticas. Mantener el recipiente herméticamente cerrado. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lavar la piel con agua o tomar una ducha. Almacenar en un lugar bien ventilado. Mantener fresco. Eliminar el contenido y recipiente conforme a todas las reglamentaciones locales, regionales, nacionales e internacionales. ",b,1,1,1
KAO-QB00061,Q0201012,POIZ 88,No Aplicable,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,1,1,1,1
KAO-QB00072,Q0201014,TETRANYL AT7590E,No Aplicable,PELIGRO,+34 93 739 9445,Líquido y vapores muy inflamables.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho butílico ,
neopreno. Usar protección para los ojos o la cara: Recomendado: lentes antisalpicaduras. Mantener alejado del calor, superficies calientes, chispas, llamas abiertas y otras fuentes de ignición. No fumar. Todos los equipos eléctricos, de ventilación, de iluminación y para la manipulación de materiales deben ser antideflagrantes. No utilizar herramientas que produzcan chispas. Tomar medidas de precaución contra las descargas electrostáticas. Mantener el recipiente herméticamente cerrado. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lavar la piel con agua o tomar una ducha. Almacenar en un lugar bien ventilado. Mantener fresco. Eliminar el contenido y recipiente conforme a todas las  glamentaciones locales, regionales, nacionales e internacionales.",b,1,1,1
KAO-QB00054,Q0201019,KAOSOFT AGL85,"157905-74-3, 64-17-5",ATENCION,+34 93 739 9445,Líquidos y vapores inflamables.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo , neopreno. Llevar gafas o máscara de protección: Recomendado: gafas antisalpicaduras. Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales  ntideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar  edidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",b,1,1,1
KAO-QB00057,Q0201024,KAO SOFCARE GP1,29117-02-0,ATENCION,+34 93 739 9445,No Aplicable,No Aplicable,1,1,1,1
KAO-QB00062,Q0202001,QUARTAMIN 60,112-02-7,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas antisalpicaduras. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",e,1,1,1
,Q0202002,QUARTAMIN S60,"61789-72-8, 112-02-7",PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección. Llevar gafas o máscara de protección. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",e,1,1,1
,Q0202004,BETADET HRG ,61789-40-0,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves.,"Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",e,1,1,1
KAO-QB00025,Q0202011,BETADET HR2,61789-40-0,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves.,"Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",e,1,1,1
KAO-QB00027,Q0202009,CETILICO KALKOL 6098,36653-82-4,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,1,1,1,1
KAO-QB00018,Q0202012,ALCOHOL ESTEARILICO KALKOL 8098 ,112-92-5,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,1,1,1,1
KAO-QB00021,Q0202013,AMIDET N  ,No Aplicable,ATENCION,+34 93 739 9445,"Provoca irritación cutánea. Nocivo para los organismos acuáticos, con efectos nocivos duraderos.","Llevar guantes de protección: 1 - 4 horas (tiempo de detección): goma de butilo,
Viton®?<1hora(tiempodedetección):neopreno,cauchonitrílico.Evitar su liberación al medio ambiente. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. En caso de irritación cutánea: Consultar a un médico. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales. ",g,1,1,1
KAO-QB00075,Q0203001,TETRANYL BC- 50T,61789-71-7,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo,
neopreno. Llevar gafas o máscara de protección: Recomendado: gafas de seguridad con protección lateral. Llevar prendas de protección: Recomendado: Traje de protección , bata de laboratorio. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una
posición que le facilite la respiración. Llamar inmediatamente a un centro de
información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar
inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",e,g,1,1
KAO-QB00078,Q0203002,TETRANYL BC-80E,"61789-71-7, 67-63-0",PELIGRO,+34 93 739 9445,Líquidos y vapores inflamables. Nocivo en caso de ingestión o en contacto con la piel. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo,
neopreno. Llevar gafas o máscara de protección: Recomendado: gafas de seguridad con protección lateral. Llevar prendas de protección: Recomendado: Traje de protección , bata de laboratorio. Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales antideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE  CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Llamar a un centro de información toxicológica o a un médico en caso de malestar. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON  OJOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. : Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",b,e,g,1
KAO-QB00030,Q0203004,DANOX BT60 ,No Aplica,PELIGRO,+34 93 739 9445,Líquidos y vapores inflamables. Nocivo en caso de ingestión o en contacto con la piel. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , máscara. Llevar prendas de protección: Recomendado: traje protector resistente a los químicos.  mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales antideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar
inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Llamar a un centro de información toxicológica o a un médico en caso de malestar. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a
un centro de información toxicológica o a un médico. Guardar cerrado. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",b,e,g,1
KAO-QB00066,Q0203005,QUARTAMIN B18 , - , - , - , - , - ,1,1,1,1
KAO-QB00028,Q0204001,CORROMIN E-4,No aplicable,PELIGRO,+34 93 739 9445,Líquidos y vapores inflamables. Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y  lesiones oculares graves. Puede provocar una reacción alérgica en la piel. Puede provocar somnolencia o vértigo. Provoca daños en los órganos tras exposiciones prolongadas o repetidas.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo , Viton®. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , máscara. Llevar prendas de protección: Recomendado: Traje de protección. Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales antideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. Utilizar únicamente en exteriores o en un lugar bien ventilado. No respirar los vapores. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación.  Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la víctima al exterior y mantenerla en reposo en una posición confortable para respirar. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). En caso de irritación o erupción cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente  con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando casionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir  aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",b,g,h,e
KAO-QB00022,Q0206002,AMIET 502 TAMBOR 175 KGS,61791-26-2,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Llevar prendas de protección: Recomendado: bata de laboratorio , Traje de protección. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INGESTIÓN: Llamar a un centro de información toxicológica o a un médico en caso de malestar. Enjuagarse la boca. EN CASO DE CONTACTO CON LA PIEL: Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Quitarse las prendas contaminadas. Lavar las prendas contaminadas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar  nmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",e,g,1,1
KAO-QB00049,Q0208004,FORMOX DMCD (E),No aplicable,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",1,1,e,1
,Q0208005,ACIDO GRASO TO (ACIDO OLEICO QK),61790-12-3,SIN PALABRA,+34 93 739 9445,No Aplicable,No Aplicable,1,1,1,1
KAO-QB00042,Q0208009,EMAL 10-N (LAURIL SULFATO DE SODIO) ,73296-89-6,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton®, caucho nitrílico, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación.  EN CASO DE INGESTIÓN: Llamar a un centro de información toxicológica o a un médico en caso de malestar. Enjuagarse la boca. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarrando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",e,1,g,1
KAO-QB00044,Q0208012,EMAL 227 (LESS QKA),No Aplicable,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección. Llevar gafas o máscara de protección. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",e,1,1,1
KAO-QB00019,Q0208016,ALFANOX 46 ,68439-57-6,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton®, caucho nitrílico, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitarse las prendas contaminadas. Lavar las prendas contaminadas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un  médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",1,e,1,1
KAO-QB00029,Q0208017,DANOX 511-B ,"61791-14-8, 70592-80-2, 61790-85-0",PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Provoca daños en los órganos tras exposiciones prolongadas o repetidas.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Llevar prendas de protección:  ecomendado: Traje de protección , bata de laboratorio. No respirar los vapores. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",e,h,g,1
KAO-QB00043,Q0208020,EMAL 10G,73296-89-6,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton®, caucho nitrílico, neopreno. Llevar gafas o máscara de protección:  Recomendado: gafas anti-salpicaduras. No comer, beber ni fumar durante su  tilización. Lavarse las manos concienzudamente tras la manipulación.  EN CASO DE INGESTIÓN: Llamar a un centro de información toxicológica o a un médico en caso de malestar. Enjuagarse la boca. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",1,e,g,1
KAO-QB00060,Q0209001,POIZ 535 ,No Aplicable,Sin palabra de advertencia.,+34 93 739 9445,No Aplicable,No Aplicable,1,1,1,1
,Q0209004,DIAMIN OE ,No Aplicable,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Provoca daños en los órganos tras exposiciones prolongadas o repetidas.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: máscara. Llevar prendas de protección: Recomendado: Traje de protección , bata de laboratorio. No respirar los vapores. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INHALACIÓN: Transportar a la víctima al exterior y mantenerla en reposo en una posición confortable para respirar. Llamar inmediatamente a un centrode información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",e,h,1,g
,Q0301001,ACEITE DE PINO Y40,8002 – 9 – 3,ATENCION,+55 5831 7905 ,"H226: líquido y vapores inflamables. H334: puede provocar síntomas de alergia o asma o dificultades respiratorias si se inhala.  H400: no dispersar en el medio ambiente/no es
su uso destinado.
","P233: mantener alejado del calor/de chispas/de llamas al descubierto/de superficies calientes. No fumar. P235: mantener el recipiente herméticamente cerrado. P241: utilizar un material eléctrico/de ventilación/iluminación/…/antideflagrante. P242: no utilizar herramienta que produzca chispa. P243: tomar medidas de precaución contra las descargas electroestáticas. P280: usar guantes y equipo de protección personal para ojos/cara. P303, P361, y P353: en caso de contacto con la piel o el pelo: quitar inmediatamente la ropa contaminada. Enjuagar la piel con agua/ducharse. P370 y P378: en caso de incendio utilizar para la extinción: polvo químico seco (extintor de PQS) P391: recoger los vertidos.
P501: eliminar el contenido del recipiente conforme a la
reglamentación/local/nacional/internacional.
",g,h,b,1
VAR-QB00005,Q0301002,ACEITE DE PINO Y55,8002 – 9 – 3,ATENCION,+55 5831 7905 ,"H226: líquido y vapores inflamables. H334: puede provocar síntomas de alergia o asma o dificultades respiratorias si se inhala.  H400: no dispersar en el medio ambiente/no es
su uso destinado.
","P233: mantener alejado del calor/de chispas/de llamas al descubierto/de superficies calientes. No fumar. P235: mantener el recipiente herméticamente cerrado. P241: utilizar un material eléctrico/de ventilación/iluminación/…/antideflagrante. P242: no utilizar herramienta que produzca chispa. P243: tomar medidas de precaución contra las descargas electroestáticas. P280: usar guantes y equipo de protección personal para ojos/cara. P303, P361, y P353: en caso de contacto con la piel o el pelo: quitar inmediatamente la ropa contaminada. Enjuagar la piel con agua/ducharse. P370 y P378: en caso de incendio utilizar para la extinción: polvo químico seco (extintor de PQS) P391: recoger los vertidos.
P501: eliminar el contenido del recipiente conforme a la
reglamentación/local/nacional/internacional.
",g,h,b,1
VAR-QB00006,Q0301003,ACEITE MINERAL QB 85,8012-95-1; 8042-47-5,Sin palabra de advertencia.,01 800 00 21400,No Aplicable,No Aplicable,1,1,1,1
VAR-QB00159,Q0301013,ACEITE DE PINO V55 NO UTILIZAR, - , - , - ,  -   , - ,1,1,1,1
VAR-QB00015,Q0302002,ALCOHOL E. DESTUFADO , - , - , - ,  -   , - ,1,1,1,1
