Codigo interno,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos (Frases P),Source_File,Exclamación,Corrosión,Peligro para la salud,Calavera,Llama,Ambiente,Llama sobre círculo,Bomba explotando,Cilindro de gas
,KAOAMIN 16 ,"72230-78-5, 151661-99-3",PELIGRO,+34 93 739 9445,Provoca graves quemaduras en la piel y lesiones oculares.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho nitrílico. Usar protección para los ojos o la cara: Recomendado: lentes anti-salpicaduras , gafas de seguridad con protección lateral. Usar ropa protectora: Recomendado: Ropa de protección completa.. Lavarse cuidadosamente las manos después de la manipulación. EN CASO DE INHALACIÓN: Transportar la víctima al aire libre y mantenerla en reposo en una posición que le facilite la respiración. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar la ropa contaminada antes de volverla a usar. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Enjuagar con agua cuidadosamente durante varios minutos. Quitar las lentes de contacto, cuando estén presentes y pueda hacerse con facilidad. Proseguir con el lavado. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. ",Warehouse1,,X,X,,,X,,,
,KAOAMIN KW ,No aplicable,PELIGRO,+34 93 739 9445,Provoca graves quemaduras en la piel y lesiones oculares.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho nitrílico. Usar protección para los ojos o la cara: Recomendado: lentes anti-salpicaduras , gafas de seguridad con protección lateral. Usar ropa protectora: Recomendado: Ropa de protección completa.. Lavarse cuidadosamente las manos después de la manipulación. : EN CASO DE INHALACIÓN: Transportar la víctima al aire libre y mantenerla en reposo en una posición que le facilite la respiración. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE INGESTIÓN: Llamar  nmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lave la pielcontaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (porejemplo, Previn ®). Lavar la ropa contaminada antes de volverla a usar. Llamar inmediatamente a un CENTRO DE CONTROL DE ENVENENAMIENTO o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Enjuagar con agua cuidadosamente durante varios minutos. Quitar las lentes de contacto, cuando estén presentes y pueda hacerse con facilidad. Proseguir con el lavado. Llamar inmediatamente a un CENTRO DE CONTROL DE  NVENENAMIENTO o a un médico. : Guardar bajo llave. Eliminar el contenido y recipiente conforme a todas las reglamentaciones locales, regionales, nacionales e internacionales.",Warehouse1,,X,,,,,,,
,DANOX AP ,No Aplicable,PELIGRO,+34 93 739 9445,"Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Puede ser mortal en caso de ingestión y penetración en las vías respiratorias. Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal, sistema inmunológico, hígado)","Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: Gafas anti-salpicaduras. , máscara. Llevar prendas de protección: Recomendado: Bata de laboratorio.,Traje de protección. No  espirar el polvo. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación.  Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar  nmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga  iphoterin (por ejemplo, Previn ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",Warehouse1,X,X,X,,,,,,
KAO-QB00004,ASFIER 211 (GRANEL PIPA) ,-,-,-,-,-,Warehouse1,,,,,,,,,
KAO-QB00005,ASFIER 211 (TAMBOR),No Aplicable,PELIGRO,+34 93 739 9445,Provoca quemaduras graves en la piel y lesiones oculares graves. Puede provocar daños en los órganos tras exposiciones  rolongadas o repetidas. (tracto gastrointestinal),"Llevar guantes de protección: > 8 horas (tiempo de detección): caucho nitrílico. Llevar gafas o máscara de protección: Recomendado: máscara. Llevar prendas de protección: Recomendado: Traje de protección. No respirar los vapores. Lavarse las manos concienzudamente tras la manipulación. Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",Warehouse1,,X,X,,,,,,
KAO-QB00069,QUARTAMIN D86P,No Aplicable,PELIGRO,+34 93 739 9445,"Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Puede ser  ortal en caso de ingestión y penetración en las vías respiratorias. Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas. (tracto gastrointestinal, sistema inmunológico, hígado)","Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: Gafas anti-salpicaduras. , máscara. Llevar prendas de protección: Recomendado: Bata de  laboratorio. Traje de protección. No respirar el polvo. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. : Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS  JOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo,  revin ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar  nmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,,X,,,X,,,,
,TETRANYL FAV,No Aplicable,ATENCION,+34 93 739 9445,Líquido y vapores inflamables.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho butílico , neopreno. Usar protección para los ojos o la cara:  ecomendado: lentes antisalpicaduras. Mantener alejado del calor, superficies calientes, chispas, llamas abiertas y otras fuentes de ignición. No fumar. Todos los equipos eléctricos, de ventilación, de iluminación y para la manipulación de materiales deben ser antideflagrantes. No utilizar herramientas que produzcan chispas. Tomar medidas de precaución contra las descargas  lectrostáticas. Mantener el recipiente herméticamente cerrado. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lavar la piel con agua o tomar una ducha. Almacenar en un lugar bien ventilado. Mantener fresco. Eliminar el contenido y recipiente conforme a todas las reglamentaciones locales, regionales, nacionales e internacionales. ",Warehouse1,,,,,X,,,,
KAO-QB00061,POIZ 88,No Aplicable,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,Warehouse1,,,,,,,,,
KAO-QB00072,TETRANYL AT7590E,No Aplicable,PELIGRO,+34 93 739 9445,Líquido y vapores muy inflamables.,"Usar guantes de protección: > 8 horas (tiempo de saturación): caucho butílico ,
neopreno. Usar protección para los ojos o la cara: Recomendado: lentes antisalpicaduras. Mantener alejado del calor, superficies calientes, chispas, llamas abiertas y otras fuentes de ignición. No fumar. Todos los equipos eléctricos, de ventilación, de iluminación y para la manipulación de materiales deben ser antideflagrantes. No utilizar herramientas que produzcan chispas. Tomar medidas de precaución contra las descargas electrostáticas. Mantener el recipiente herméticamente cerrado. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente toda la ropa contaminada. Lavar la piel con agua o tomar una ducha. Almacenar en un lugar bien ventilado. Mantener fresco. Eliminar el contenido y recipiente conforme a todas las  glamentaciones locales, regionales, nacionales e internacionales.",Warehouse1,,,,,X,,,,
KAO-QB00054,KAOSOFT AGL85,"157905-74-3, 64-17-5",ATENCION,+34 93 739 9445,Líquidos y vapores inflamables.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo , neopreno. Llevar gafas o máscara de protección: Recomendado: gafas antisalpicaduras. Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales  ntideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar  edidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,,,,,X,,,,
KAO-QB00057,KAO SOFCARE GP1,29117-02-0,ATENCION,+34 93 739 9445,No Aplicable,No Aplicable,Warehouse1,,,,,,,,,
KAO-QB00062,QUARTAMIN 60,112-02-7,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas antisalpicaduras. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",Warehouse1,,X,,,,,,,
,QUARTAMIN S60,"61789-72-8, 112-02-7",PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección. Llevar gafas o máscara de protección. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico.",Warehouse1,,X,,,,,,,
,BETADET HRG ,61789-40-0,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves.,"Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",Warehouse1,,X,,,,,,,
KAO-QB00025,BETADET HR2,61789-40-0,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves.,"Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",Warehouse1,,X,,,,,,,
KAO-QB00027,CETILICO KALKOL 6098,36653-82-4,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,Warehouse1,,,,,,,,,
KAO-QB00018,ALCOHOL ESTEARILICO KALKOL 8098 ,112-92-5,No Aplicable,+34 93 739 9445,No Aplicable,No Aplicable,Warehouse1,,,,,,,,,
KAO-QB00021,AMIDET N  ,No Aplicable,ATENCION,+34 93 739 9445,"Provoca irritación cutánea. Nocivo para los organismos acuáticos, con efectos nocivos duraderos.","Llevar guantes de protección: 1 - 4 horas (tiempo de detección): goma de butilo,
Viton®?<1hora(tiempodedetección):neopreno,cauchonitrílico.Evitar su liberación al medio ambiente. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. En caso de irritación cutánea: Consultar a un médico. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales. ",Warehouse1,X,,,,,,,,
KAO-QB00075,TETRANYL BC- 50T,61789-71-7,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo,
neopreno. Llevar gafas o máscara de protección: Recomendado: gafas de seguridad con protección lateral. Llevar prendas de protección: Recomendado: Traje de protección , bata de laboratorio. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una
posición que le facilite la respiración. Llamar inmediatamente a un centro de
información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar
inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,X,X,,,,,,,
KAO-QB00078,TETRANYL BC-80E,"61789-71-7, 67-63-0",PELIGRO,+34 93 739 9445,Líquidos y vapores inflamables. Nocivo en caso de ingestión o en contacto con la piel. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo,
neopreno. Llevar gafas o máscara de protección: Recomendado: gafas de seguridad con protección lateral. Llevar prendas de protección: Recomendado: Traje de protección , bata de laboratorio. Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales antideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE  CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Llamar a un centro de información toxicológica o a un médico en caso de malestar. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON  OJOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. : Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,X,X,,,X,,,,
KAO-QB00030,DANOX BT60 ,No Aplica,PELIGRO,+34 93 739 9445,Líquidos y vapores inflamables. Nocivo en caso de ingestión o en contacto con la piel. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , máscara. Llevar prendas de protección: Recomendado: traje protector resistente a los químicos.  mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales antideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar
inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Llamar a un centro de información toxicológica o a un médico en caso de malestar. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a
un centro de información toxicológica o a un médico. Guardar cerrado. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,X,X,,,X,,,,
KAO-QB00066,QUARTAMIN B18 , - , - , - , - , - ,Warehouse1,,,,,,,,,
KAO-QB00028,CORROMIN E-4,No aplicable,PELIGRO,+34 93 739 9445,Líquidos y vapores inflamables. Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y  lesiones oculares graves. Puede provocar una reacción alérgica en la piel. Puede provocar somnolencia o vértigo. Provoca daños en los órganos tras exposiciones prolongadas o repetidas.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo , Viton®. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , máscara. Llevar prendas de protección: Recomendado: Traje de protección. Mantener alejado del calor, de superficies calientes, de chispas, de llamas abiertas y de cualquier otra fuente de ignición. No fumar. Utilizar un material eléctrico, de ventilación, de iluminación y todos los equipos de manipulación de materiales antideflagrantes. Utilizar únicamente herramientas que no produzcan chispas. Tomar medidas de precaución contra descargas electrostáticas. Mantener el recipiente herméticamente cerrado. Utilizar únicamente en exteriores o en un lugar bien ventilado. No respirar los vapores. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación.  Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la víctima al exterior y mantenerla en reposo en una posición confortable para respirar. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LA PIEL: Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). En caso de irritación o erupción cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente  con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando casionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir  aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Almacenar en un lugar bien ventilado. Mantener en lugar fresco. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,X,X,X,,X,,,,
KAO-QB00022,AMIET 502 TAMBOR 175 KGS,61791-26-2,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Llevar prendas de protección: Recomendado: bata de laboratorio , Traje de protección. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE INGESTIÓN: Llamar a un centro de información toxicológica o a un médico en caso de malestar. Enjuagarse la boca. EN CASO DE CONTACTO CON LA PIEL: Lave la piel contaminada con el de 3% de ácido acético o el agente que contiene Diphoterin (por ejemplo, Previn ®). Quitarse las prendas contaminadas. Lavar las prendas contaminadas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Lavar inmediatamente con un agente que contenga Diphoterin (por ejemplo, Previn ®), levantando ocasionalmente los párpados superior e inferior.  Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar  nmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,X,X,,,,,,,
KAO-QB00049,FORMOX DMCD (E),No aplicable,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",Warehouse1,,X,,,,,,,
,ACIDO GRASO TO (ACIDO OLEICO QK),61790-12-3,SIN PALABRA,+34 93 739 9445,No Aplicable,No Aplicable,Warehouse1,,,,,,,,,
KAO-QB00042,EMAL 10-N (LAURIL SULFATO DE SODIO) ,73296-89-6,PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton®, caucho nitrílico, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación.  EN CASO DE INGESTIÓN: Llamar a un centro de información toxicológica o a un médico en caso de malestar. Enjuagarse la boca. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarrando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,X,X,,,,,,,
KAO-QB00044,EMAL 227 (LESS QKA),No Aplicable,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección. Llevar gafas o máscara de protección. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitar las prendas contaminadas y lavarlas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",Warehouse1,,X,,,,,,,
KAO-QB00019,ALFANOX 46 ,68439-57-6,PELIGRO,+34 93 739 9445,Provoca lesiones oculares graves. Provoca irritación cutánea.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo, Viton®, caucho nitrílico, neopreno. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Lavarse las manos concienzudamente tras la manipulación. EN CASO DE CONTACTO CON LA PIEL: Lavar con agua y jabón abundantes. Quitarse las prendas contaminadas. Lavar las prendas contaminadas antes de volver a usarlas. En caso de irritación cutánea: Consultar a un  médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. ",Warehouse1,,X,,,,,,,
KAO-QB00029,DANOX 511-B ,"61791-14-8, 70592-80-2, 61790-85-0",PELIGRO,+34 93 739 9445,Nocivo en caso de ingestión. Provoca quemaduras graves en la piel y lesiones oculares graves. Provoca daños en los órganos tras exposiciones prolongadas o repetidas.,"Llevar guantes de protección: > 8 horas (tiempo de detección): goma de butilo. Llevar gafas o máscara de protección: Recomendado: gafas anti-salpicaduras , gafas de seguridad con protección lateral. Llevar prendas de protección:  ecomendado: Traje de protección , bata de laboratorio. No respirar los vapores. No comer, beber ni fumar durante su utilización. Lavarse las manos concienzudamente tras la manipulación. Consultar a un médico en caso de malestar. EN CASO DE INHALACIÓN: Transportar a la persona al aire libre y mantenerla en una posición que le facilite la respiración. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE INGESTIÓN: Llamar inmediatamente a un centro de información toxicológica o a un médico. Enjuagarse la boca. NO provocar el vómito. EN CASO DE CONTACTO CON LA PIEL (o el pelo): Quitar inmediatamente todas las prendas contaminadas. Aclararse la piel con agua o ducharse. Lavar las prendas contaminadas antes de volver a usarlas. Llamar inmediatamente a un centro de información toxicológica o a un médico. EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un centro de información toxicológica o a un médico. Guardar cerrado. Eliminar el contenido y el recipiente de acuerdo con las normativas locales, regionales, nacionales e internacionales.",Warehouse1,X,X,X,,,,,,
